"po_number","cust_id","sku"
"U051326","United States","ML515WBR"
"U051392","United States","GC515WHT"
"U051392","United States","GC515WHT"
"U051136","United States","NW515GRY"
"U051136","United States","NW515GRY"
"U051136","United States","NW515GRY"
"U044316","United States","PC515GRY"
"U044480","United States","ML515AGR"
"U044481","United States","ML515AGR"
"U044317","United States","PC515WHT"
"C120970","Canada","WL515WHT"
"C120981","Canada","U574SGG"
"C121017","Canada","ML515BLK"
"C121017","Canada","ML515BLK"
"C121020","Canada","WL515WHT"
"C121020","Canada","WL515WHT"
"U050982","United States","ML515WBR"
"U050982","United States","ML515WBR"
"U051133","United States","WL515GRY"
"U051133","United States","WL515GRY"
"U051137","United States","WL515SB3"
"U051137","United States","WL515SB3"
"U051285","United States","WL515MBO"
"U051323","United States","WL515MGR"
"U051354","United States","WL515SOR"
"U051429","United States","WL515MNV"
"U051450","United States","NW515GRY"
"U051450","United States","NW515GRY"
"U051467","United States","ML515WNV"
"U051471","United States","ML515WNV"
"U051599","United States","PC515GRY"
"U051630","United States","ML515AGG"
"U051778","United States","ML515AGR"
"U051779","United States","ML515NVY"
"U051926","United States","PC515GRY"
"U051926","United States","PC515GRY"
"U051926","United States","PC515GRY"
"U051927","United States","WL515NVY"
"U051927","United States","WL515NVY"
"U051928","United States","WL515NVY"
"U051928","United States","WL515NVY"
"U051934","United States","WL515BLK"
"U051934","United States","WL515BLK"
"U051934","United States","WL515BLK"
"U051943","United States","WL515BLK"
"U051943","United States","WL515BLK"
"U051994","United States","PC515GRY"
"U051994","United States","PC515GRY"
"U052087","United States","WL515WHT"
"U052090","United States","WL515WHT"
"U052097","United States","WL515WHT"
"U052100","United States","WL515WHT"
"C121050","Canada","ML574EVG"
"C121051","Canada","ML574EVG"
"C121051","Canada","ML574EVG"
"C121051","Canada","ML574EVG"
"U051981","United States","WL515HAH"
"U052312","United States","ML574EVG"
"U052313","United States","ML574EVG"
"U052315","United States","ML574EVG"
"U052316","United States","ML574EVG"
"U052317","United States","ML574EVG"
"U052318","United States","ML574EVG"
"U052319","United States","WL515HAH"
"U052321","United States","ML574EVG"
"U052357","United States","ML515GRY"
"U052357","United States","ML515GRY"
"U052425","United States","ML515TOV"
"U052495","United States","WL515NVY"
"U052495","United States","WL515NVY"
"U052498","United States","ML515NVY"
"U052576","United States","U574SGG"
"U052578","United States","U574SGG"
"U052631","United States","U574SGG"
"U052632","United States","U574SGG"
"U052632","United States","U574SGG"
"U052633","United States","U574SGG"
"U052633","United States","U574SGG"
"U052634","United States","U574SGG"
"U052635","United States","U574SGG"
"C122310","Canada","ML515BLK"
"C122311","Canada","WL574MLG"
"C122313","Canada","WL574MGS"
"U057528","United States","ML515BLK"
"U057528","United States","ML515BLK"
"U057534","United States","ML515BLK"
"U057534","United States","ML515BLK"
"U057552","United States","U574SGG"
"U057552","United States","U574SGG"
"U051607","United States","NW515GRY"
"U051619","United States","WL515SOR"
"U051620","United States","WL515NVY"
"U051622","United States","WL515MBO"
"U051623","United States","WL515SB3"
"U051645","United States","WL515MBO"
"U051647","United States","WL515MBO"
"U051650","United States","WL515MBO"
"U051679","United States","ML515WHT"
"U051681","United States","ML515WHT"
"U051687","United States","WL515GRY"
"U051688","United States","WL515GRY"
"U051695","United States","WL515GRY"
"U057529","United States","NW515GRY"
"U057529","United States","NW515GRY"
"U057530","United States","WL515NVY"
"U057530","United States","WL515NVY"
"U057531","United States","WL515GRY"
"U057531","United States","WL515GRY"
"U057532","United States","NW515GRY"
"U057532","United States","NW515GRY"
"U057532","United States","NW515GRY"
"U057533","United States","WL515BLK"
"U057533","United States","WL515BLK"
"U057539","United States","WL515NVY"
"U057539","United States","WL515NVY"
"U057541","United States","WL515MBO"
"U057542","United States","WL515SBL"
"U057543","United States","WL515BLK"
"U057543","United States","WL515BLK"
"U057550","United States","ML515TOV"
"U057554","United States","ML515WNV"
"U057557","United States","WL515MGG"
"U057559","United States","WL515SBL"
"U057561","United States","ML515AGR"
"U057561","United States","ML515AGR"
"U057561","United States","ML515AGR"
"U057903","United States","NW515GRY"
"U057903","United States","NW515GRY"
"U057904","United States","WL515BLK"
"U057904","United States","WL515BLK"
"U058009","United States","WL574MLG"
"U058010","United States","WL574MLG"
"U058011","United States","WL574MLG"
"U058012","United States","WL574MLG"
"U058014","United States","WL574MGS"
"U058021","United States","WL515MBO"
"U058023","United States","WL515MBO"
"U058026","United States","WL574MLG"
"U058029","United States","WL515MBO"
"U058033","United States","WL515GRY"
"U058035","United States","WL515GRY"
"U058036","United States","WL515GRY"
"U058039","United States","ML515WNV"
"U058042","United States","NW515GRY"
"U058044","United States","WL515GRY"
"U058051","United States","ML515AGR"
"U058052","United States","ML515TOV"
"U058054","United States","ML515TOV"
"U058055","United States","ML515TOV"
"U058056","United States","ML515AGR"
"U058057","United States","ML515TOV"
"U058060","United States","WL574MGS"
"U058062","United States","WL574MGS"
"U058097","United States","ML515AGR"
"U058097","United States","ML515AGR"
"U058214","United States","NW515GRY"
"U058250","United States","WL574MGS"
"U058251","United States","WL574MGS"
"U058253","United States","WL574MGS"
"U059683","United States","WL574MLG"
"U059684","United States","WL574MGS"
"U059685","United States","WL574MGS"
"U059686","United States","WL574MGS"
"U059688","United States","WL574MLG"
"U059692","United States","WL574MLG"
"U059700","United States","PC515PNK"
"U059700","United States","PC515PNK"
"C123339","Canada","WL515BLK"
"C123339","Canada","WL515BLK"
"C123341","Canada","NW515GRY"
"C123341","Canada","NW515GRY"
"U061689","United States","NW515GRY"
"U061689","United States","NW515GRY"
"U061689","United States","NW515GRY"
"U063246","United States","PZ740BO"
"U063246","United States","PZ740BO"
"U063276","United States","ML515AGR"
"U063278","United States","ML515AGR"
"U063691","United States","PZ740NW"
"U063691","United States","PZ740NW"
"U064190","United States","NW515GRY"
"U064194","United States","PC515PNK"
"U064195","United States","GC515GRY"
"U064236","United States","WL515HAH"
"U064238","United States","NW515GRY"
"C123344","Canada","WL515WHT"
"C123344","Canada","WL515WHT"
"U063263","United States","ML515NVY"
"U063263","United States","ML515NVY"
"U063264","United States","ML515WHT"
"U063264","United States","ML515WHT"
"U064192","United States","PC515GRY"
"U064340","United States","PC515GRY"
"C125168","Canada","ML515WNV"
"U065862","United States","ML515GRY"
"U065862","United States","ML515GRY"
"U065863","United States","ML515TWT"
"U065864","United States","ML515WNV"
"C124388","Canada","WL515GRY"
"C124388","Canada","WL515GRY"
"U065788","United States","GC515WHT"
"U065788","United States","GC515WHT"
"U065801","United States","GC515WHT"
"U067971","United States","GC515BLK"
"U067971","United States","GC515BLK"
"U067972","United States","PC515BLK"
"U067972","United States","PC515BLK"
"U067974","United States","GC515GRY"
"U067974","United States","GC515GRY"
"U068004","United States","GC515GRY"
"U068004","United States","GC515GRY"
"U068008","United States","GC515BLK"
"U068008","United States","GC515BLK"
"U068068","United States","GC515GRY"
"U068139","United States","PC515BLK"
"U068139","United States","PC515BLK"
"U069004","United States","ML515BLK"
"U069004","United States","ML515BLK"
"U069030","United States","WL515NVY"
"U069030","United States","WL515NVY"
"U069031","United States","ML515BLK"
"U069031","United States","ML515BLK"
"U069031","United States","ML515BLK"
"U069256","United States","WL515BLK"
"U069256","United States","WL515BLK"
"U068994","United States","ML515NVY"
"U069034","United States","ML515NVY"
"U069034","United States","ML515NVY"
"U069151","United States","ML515NVY"
"C126145","Canada","PC515BLK"
"C126145","Canada","PC515BLK"
"C125813","Canada","W57458W"
"U068996","United States","WL515GRY"
"U068996","United States","WL515GRY"
"U069001","United States","WL515WHT"
"U069001","United States","WL515WHT"
"U069014","United States","ML515GRY"
"U069014","United States","ML515GRY"
"U069017","United States","PC515PNK"
"U069017","United States","PC515PNK"
"U069026","United States","ML515WHT"
"U069026","United States","ML515WHT"
"U069234","United States","WL515WHT"
"U069234","United States","WL515WHT"
"U069235","United States","WL515WHT"
"U069235","United States","WL515WHT"
"U069242","United States","WL515WHT"
"U069242","United States","WL515WHT"
"U068215","United States","GC515GRY"
"C125873","Canada","WL515BLK"
"C125873","Canada","WL515BLK"
"C125875","Canada","ML515GRY"
"C125875","Canada","ML515GRY"
"C125881","Canada","ML515BLK"
"C125881","Canada","ML515BLK"
"U068991","United States","WL515NVY"
"U068991","United States","WL515NVY"
"U069149","United States","WL515NVY"
"U069149","United States","WL515NVY"
"U069317","United States","NW515GRY"
"U069319","United States","PC515GRY"
"U069375","United States","ML515GRY"
"U069394","United States","GC515GRY"
"C126075","Canada","ML574EVG"
"C126075","Canada","ML574EVG"
"C126075","Canada","ML574EVG"
"C126076","Canada","WL574EVB"
